LSOA_Code,LSOA_Name,Supergroup_Code,Supergroup_Name,Group_Code,Group_Name,Subgroup_Code,Subgroup_Name
E01026262,South Holland 009A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026263,South Holland 009B,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026264,South Holland 009C,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026265,South Holland 009D,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026266,South Holland 006B,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026268,South Holland 007A,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026269,South Holland 007B,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026270,South Holland 007C,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026271,South Holland 007D,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026272,South Holland 007E,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026273,South Holland 006C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026275,South Holland 006E,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026276,South Holland 001E,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026277,South Holland 008D,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b2,Families and Later Life
E01026278,South Holland 008E,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026279,South Holland 008F,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026280,South Holland 010C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026281,South Holland 004A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026282,South Holland 004B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026283,South Holland 004C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026284,South Holland 011C,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026285,South Holland 004D,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026286,South Holland 004E,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026287,South Kesteven 015A,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026288,South Kesteven 015B,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026289,South Kesteven 015C,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026290,South Kesteven 008A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026291,South Kesteven 002A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026292,South Kesteven 007A,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026293,South Kesteven 007B,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026294,South Kesteven 007C,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026296,South Kesteven 011B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026297,South Kesteven 011C,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026298,South Kesteven 011D,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026299,South Kesteven 010A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026300,South Kesteven 010B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026302,South Kesteven 010D,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026303,South Kesteven 014A,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026304,South Kesteven 014B,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c2,Ageing Independent Living
E01026305,South Kesteven 014C,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026306,South Kesteven 014D,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026307,South Kesteven 014E,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026308,South Kesteven 005A,6,Baseline UK,6a,Challenged Communities,6a3,Younger Ethnic Minority Families in Flats
E01026309,South Kesteven 005B,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026310,South Kesteven 005C,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026311,South Kesteven 005D,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026312,South Kesteven 005E,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026313,South Kesteven 001A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026314,South Kesteven 001B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026315,South Kesteven 009A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026316,South Kesteven 007D,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026317,South Kesteven 006A,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026318,South Kesteven 006B,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026319,South Kesteven 006C,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026321,South Kesteven 004B,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026322,South Kesteven 004C,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026323,South Kesteven 004D,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026324,South Kesteven 004E,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026325,South Kesteven 003A,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026326,South Kesteven 003B,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b1,Retired Seniors
E01026327,South Kesteven 003C,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026328,South Kesteven 003D,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026329,South Kesteven 001C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026330,South Kesteven 012A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026331,South Kesteven 009B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026332,South Kesteven 007E,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026333,South Kesteven 001D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026334,South Kesteven 013A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026335,South Kesteven 013B,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c1,Communal Retirement Living
E01026336,South Kesteven 013C,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026337,South Kesteven 013D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026338,South Kesteven 009C,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026339,South Kesteven 009D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026340,South Kesteven 002B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026341,South Kesteven 008B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026342,South Kesteven 008C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026343,South Kesteven 006D,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026344,South Kesteven 006E,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b2,Traditional Terraces
E01026345,South Kesteven 006F,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c1,Communal Retirement Living
E01026346,South Kesteven 015D,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026347,South Kesteven 015E,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026348,South Kesteven 015F,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026349,South Kesteven 016A,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c2,Ageing Independent Living
E01026350,South Kesteven 016B,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b1,Retired Seniors
E01026351,South Kesteven 016C,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c2,Ageing Independent Living
E01026352,South Kesteven 003E,5,Ethnically Diverse Suburb-an Professionals,5b,Suburban Professionals,5b2,Established Multi-Ethnic Suburbs
E01026353,South Kesteven 003F,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026354,South Kesteven 003G,1,Retired Professionals,1c,Established Mature Families,1c1,Affluent Mature Families
E01026355,South Kesteven 002C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026356,South Kesteven 016D,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026357,South Kesteven 016E,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026358,South Kesteven 016F,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026359,South Kesteven 016G,1,Retired Professionals,1c,Established Mature Families,1c1,Affluent Mature Families
E01026360,South Kesteven 012B,1,Retired Professionals,1c,Established Mature Families,1c1,Affluent Mature Families
E01026361,South Kesteven 008D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026362,South Kesteven 012C,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026363,South Kesteven 012D,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026364,South Kesteven 012E,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026365,South Kesteven 002D,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026366,West Lindsey 011A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026367,West Lindsey 001A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026368,West Lindsey 001B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026369,West Lindsey 011B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026370,West Lindsey 011C,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026371,West Lindsey 011D,1,Retired Professionals,1c,Established Mature Families,1c1,Affluent Mature Families
E01026372,West Lindsey 008A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026373,West Lindsey 011E,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026374,West Lindsey 006A,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026375,West Lindsey 006B,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026376,West Lindsey 006C,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026377,West Lindsey 006D,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026378,West Lindsey 004A,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026379,West Lindsey 004B,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026380,West Lindsey 002A,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026381,West Lindsey 004C,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026382,West Lindsey 004D,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a2,Settled Owner-Occupied Suburbs
E01026383,West Lindsey 004E,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026384,West Lindsey 004F,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026385,West Lindsey 005A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026386,West Lindsey 005B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026387,West Lindsey 001C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026388,West Lindsey 007A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026389,West Lindsey 003A,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c1,Communal Retirement Living
E01026390,West Lindsey 003B,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026391,West Lindsey 003C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026392,West Lindsey 003D,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026393,West Lindsey 010A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026394,West Lindsey 010B,5,Ethnically Diverse Suburb-an Professionals,5b,Suburban Professionals,5b1,Families in Multi-Ethnic Terraces
E01026395,West Lindsey 010C,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c2,Ageing Independent Living
E01026396,West Lindsey 009A,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026398,West Lindsey 009C,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c2,Ageing Independent Living
E01026399,West Lindsey 005C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026400,West Lindsey 009D,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026401,West Lindsey 002B,1,Retired Professionals,1c,Established Mature Families,1c2,Burgeoning Mature Families
E01026402,West Lindsey 002C,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026403,West Lindsey 002D,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026404,West Lindsey 007B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026405,West Lindsey 010D,1,Retired Professionals,1c,Established Mature Families,1c2,Burgeoning Mature Families
E01026406,West Lindsey 010E,1,Retired Professionals,1c,Established Mature Families,1c1,Affluent Mature Families
E01026407,West Lindsey 002E,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026408,West Lindsey 002F,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026409,West Lindsey 007C,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026410,West Lindsey 007D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026411,West Lindsey 005D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026412,West Lindsey 008B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026413,West Lindsey 008C,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026414,West Lindsey 008D,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a2,Settled Owner-Occupied Suburbs
E01026415,West Lindsey 003E,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a2,Settled Owner-Occupied Suburbs
E01026416,West Lindsey 001D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01032683,West Lindsey 001G,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01032986,East Lindsey 004D,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b1,Retired Seniors
E01032987,East Lindsey 004E,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01032988,North Kesteven 013B,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b2,Families and Later Life
E01032989,North Kesteven 013C,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01032991,North Kesteven 014E,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b1,Retired Seniors
E01032992,North Kesteven 014F,1,Retired Professionals,1c,Established Mature Families,1c2,Burgeoning Mature Families
E01032993,North Kesteven 013D,5,Ethnically Diverse Suburb-an Professionals,5b,Suburban Professionals,5b1,Families in Multi-Ethnic Terraces
E01032994,North Kesteven 003H,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01032995,South Holland 006F,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01032996,South Holland 006G,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01032997,South Kesteven 011E,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01032998,South Kesteven 011F,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c2,Ageing Independent Living
E01032999,South Kesteven 011G,1,Retired Professionals,1c,Established Mature Families,1c2,Burgeoning Mature Families
E01034679,Boston 002F,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01034680,Boston 002G,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01034681,Boston 003E,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01034682,Boston 003F,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01034683,Boston 009E,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01034684,Boston 009F,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01034685,East Lindsey 012E,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01034686,East Lindsey 012F,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b2,Traditional Terraces
E01034687,Lincoln 005E,6,Baseline UK,6c,Multicultural Inner Suburbs,6c1,Transient Communities
E01034688,Lincoln 005F,3,Multicultural and Educated Urbanites,3a,Student Living and Professional Footholds,3a1,University Centric
E01034689,Lincoln 007E,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b2,Traditional Terraces
E01034690,Lincoln 007F,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01034691,Lincoln 008E,3,Multicultural and Educated Urbanites,3a,Student Living and Professional Footholds,3a1,University Centric
E01034692,Lincoln 008F,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01034693,North Kesteven 003I,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01034694,North Kesteven 003J,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01034695,North Kesteven 011F,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01034696,North Kesteven 011G,1,Retired Professionals,1c,Established Mature Families,1c2,Burgeoning Mature Families
E01034697,South Holland 006H,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01034698,South Holland 006I,6,Baseline UK,6a,Challenged Communities,6a1,Suburban Housing Starters
E01034699,South Holland 009F,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01034700,South Holland 009G,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01034701,South Kesteven 004F,5,Ethnically Diverse Suburb-an Professionals,5b,Suburban Professionals,5b1,Families in Multi-Ethnic Terraces
E01034702,South Kesteven 004G,1,Retired Professionals,1c,Established Mature Families,1c1,Affluent Mature Families
E01034703,South Kesteven 010E,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01034704,South Kesteven 010F,5,Ethnically Diverse Suburb-an Professionals,5b,Suburban Professionals,5b1,Families in Multi-Ethnic Terraces
E01034705,South Kesteven 010G,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01034706,West Lindsey 009E,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01034707,West Lindsey 009F,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c1,Communal Retirement Living
